BG_ID,Gene,Synonym,Size,Mutant,Contributor,TW,PW,Prediction,Prophage,Product,Reference
BG12938,yflC,yflC,50,YFLCdd,Dr. Sekiguchi,No,,,,function unknown and unique,
BG12937,yflB,yflB,86,YFLBdd,Dr. Sekiguchi,No,,,,function unknown and unique,
BG12936,yflA,yflA,471,YFLAd,Dr. Sekiguchi,No,,,,putative alanine:Na+ symporter,
BG12935,yfkT,yfkT,358,YFKTd,Dr. Sekiguchi,No,,,,similar to spore germination protein,
BG12934,yfkS,yfkS,66,YFKSdd,Dr. Sekiguchi,No,,,,function unknown and unique,
BG12933,yfkR,yfkR,384,YFKRd,Dr. Sekiguchi,No,,,,similar to spore germination protein,
BG12932,yfkQ,yfkQ,513,YFKQd,Dr. Sekiguchi,No,,,,similar to spore germination protein,
BG11009,treP,treP,470,TREPd,Dr. Sekiguchi,No,,,,PTS trehalose-specific enzyme IIBC component,
BG11010,treA,treA,561,TREAd,Dr. Sekiguchi,No,,,,trehalose-6-phosphate hydrolase,
BG11011,treR,treR,238,TRERd,Dr. Sekiguchi,No,,,,transcriptional repressor of the trehalose operon (GntR family),
BG12931,yfkO,nfsB,221,YFKOd,Dr. Sekiguchi,No,,,,NADH-dependent nitro/flavin oxidoreductase,
BG12930,yfkN,yfkN,1462,YFKNd,Dr. Sekiguchi,No,,,,"similar to 2',3'-cyclic-nucleotide 2'-phosphodiesterase",
BG12929,yfkM,yfkM,172,YFKMd,Dr. Sekiguchi,No,,,,general stress protein,
BG12928,yfkL,yfkL,396,YFKLd,Dr. Sekiguchi,No,,,,probable transporter,
BG12927,yfkK,yfkK,71,YFKKdd,Dr. Sekiguchi,No,,,,conserved protein,
BG12926,yfkJ,yfkJ,156,YFKJd,Dr. Sekiguchi,No,,,,protein-tyrosine phosphatase (LMW PTP family),
BG12925,yfkI,yfkI,106,YFKId,Dr. Sekiguchi,No,,,,function unknown and unique,
BG12924,yfkH,yfkH,275,YFKHd,Dr. Sekiguchi,No,,,,conserved membrane protein,
BG12923,yfkF,yfkF,391,YFKFd,Dr. Sekiguchi,No,,,,similar to multidrug-efflux transporter,
BG12922,yfkE,yfkE,351,YFKEd,Dr. Sekiguchi,No,,,,similar to H+/Ca2+ exchanger,
BG12921,yfkD,yfkD,264,YFKDd,Dr. Sekiguchi,No,,,,conserved protein,
BG12920,yfkC,yfkC,280,YFKCd,Dr. Sekiguchi,No,,,,similar to small-conductance mechanosensitive channel protein,
BG12919,yfkB,yfkB,153,YFKBd,Dr. Sekiguchi,No,,,,conserved protein,
BG12918,yfkA,yfkA,154,YFKAd,Dr. Sekiguchi,No,,,,conserved protein,
BG12916,yfjT,yfjT,61,YFJTdd,Dr. Sekiguchi,No,,,,conserved protein,
BG12915,yfjS,yfjS,263,YFJSd,Dr. Sekiguchi,No,,,,similar to polysaccharide deacetylase,
BG12914,yfjR,yfjR,261,YFJRd,Dr. Sekiguchi,No,,,,similar to 3-hydroxyisobutyrate dehydrogenase,
BG12913,yfjQ,yfjQ,319,YFJQd,Dr. Sekiguchi,No,,,,similar to divalent cation transport protein,
BG12912,yfjP,yfjP,287,YFJPd,Dr. Sekiguchi,No,,,,similar to DNA-3-methyladenine glycosidase II,
BG12911,yfjO,yfjO,466,YFJOd,Dr. Sekiguchi,No,,,,similar to RNA methyltransferase,
BG12910,yfjN,yfjN,325,YFJNd,Dr. Sekiguchi,No,,,,conserved protein,
BG12909,yfjM,yfjM,150,YFJMd,Dr. Sekiguchi,No,,,,conserved protein,
BG11034,yfjL,yfjL,229,YFJLd,Dr. Sekiguchi,No,,,,function unknown and unique,
BG12558,acoA,acoA,333,ACOAd,Dr. Sekiguchi,No,,,,acetoin dehydrogenase E1 component (TPP-dependent alpha subunit),
BG12559,acoB,acoB,342,ACOBd,Dr. Sekiguchi,No,,,,acetoin dehydrogenase E1 component (TPP-dependent beta subunit),
BG12560,acoC,acoC,398,ACOCd,Dr. Sekiguchi,No,,,,acetoin dehydrogenase E2 component (dihydrolipoamide acetyltransferase),
BG12561,acoL,acoL,458,ACOLd,Dr. Sekiguchi,No,,,,acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase),
BG11790,acoR,acoR,605,ACORd,Dr. Sekiguchi,No,,,,transcriptional activator of the acetoin dehydrogenase operon,
BG12917,sspH,sspH,59,YFJUdd,Dr. Sekiguchi,No,,,,small acid-soluble spore protein (minor),
BG12908,yfjF,yfjF,109,YFJFd,Dr. Sekiguchi,No,,,,conserved membrane protein,
BG12907,yfjE,yfjE,152,YFJEd,Dr. Sekiguchi,No,,,,similar to B. subtilis yfjD,
BG12906,yfjD,yfjD,185,YFJDd,Dr. Sekiguchi,No,,,,similar to B. subtilis yfjE,
BG12905,yfjC,yfjC,255,YFJCd,Dr. Sekiguchi,No,,,,function unknown and unique,
BG12904,yfjB,yfjB,407,YFJBd,Dr. Sekiguchi,No,,,,function unknown and unique,
BG12903,yfjA,yfjA,104,YFJAd,Dr. Sekiguchi,No,,,,function unknown and unique,
BG11839,malA,glvA,449,GLVAd,Dr. Sekiguchi,No,,,,6-phospho-alpha-glucosidase,
BG11847,yfiA,glvR,254,YFIAd,Dr. Sekiguchi,No,,,,positive regulator of the glv operon,
BG11848,malP,malP,527,GLVCd,Dr. Sekiguchi,No,,,,PTS maltose-specific enzyme IICB component,
BG11849,yfiB,yfiB,573,YFIBd,Dr. Sekiguchi,No,,,,ABC transporter ATP-binding protein,
BG11850,yfiC,yfiC,604,YFICd,Dr. Sekiguchi,No,,,,ABC transporter ATP-binding protein,
BG11851,yfiD,yfiD,134,YFIDd,Dr. Sekiguchi,No,,,,conserved membrane protein,
BG11852,yfiE,yfiE,285,YFIEd,Dr. Sekiguchi,No,,,,conserved protein,
BG11853,yfiF,yfiF,314,YFIFd,Dr. Sekiguchi,No,,,,probable transcriptional regulator (AraC/XylS family),
BG11854,yfiG,yfiG,482,YFIGd,Dr. Sekiguchi,No,,,,probable sugar transport protein,
BG11855,yfiH,yfiH,313,YFIHd,Dr. Sekiguchi,No,,,,conserved protein,
BG12214,yfiI,yfiI,393,YFIId,Dr. Sekiguchi,No,,,,putative oxidoreductase,
BG12215,yfiJ,yfiJ,400,YFIJd,Dr. Sekiguchi,No,,,,two-component sensor histidine kinase. potential cognate response regulator is YfiK,
BG12216,yfiK,yfiK,220,YFIKd,Dr. Sekiguchi,No,,,,two-component response regulator. potential cognate sensor kinase is YfiJ,
BG12217,yfiL,yfiL,311,YFILd,Dr. Sekiguchi,No,,,,ABC transport system ATP-binding protein,
BG12218,yfiM,yfiM,396,YFIMd,Dr. Sekiguchi,No,,,,ABC transport system permease protein,
BG12219,yfiN,yfiN,385,YFINd,Dr. Sekiguchi,No,,,,ABC transport system permease protein,
BG12220,padR,padR,182,YFIOd,Dr. Sekiguchi,No,,,,transcriptional repressor of padC,
BG11951,lipB,lipB,210,LIPBd,Dr. Sekiguchi,No,,,,lipase,
BG12893,yfiQ,yfiQ,362,YFIQd,Dr. Sekiguchi,No,,,,similar to surface adhesion,
BG12894,yfiR,yfiR,205,YFIRd,Dr. Sekiguchi,No,,,,probable transcriptional regulator (TetR/AcrR family),
BG12895,yfiS,yfiS,417,YFISd,Dr. Sekiguchi,No,,,,similar to multidrug resistance protein,
BG12896,yfiT,yfiT,178,YFITd,Dr. Sekiguchi,No,,,,conserved protein,
BG12897,yfiU,yfiU,518,YFIUd,Dr. Sekiguchi,No,,,,similar to multidrug-efflux transporter,
BG12898,yfiV,yfiV,160,YFIVd,Dr. Sekiguchi,No,,,,probable transcriptional regulator (MarR family),
BG12899,yfiW,yfiW,258,YFIWd,Dr. Sekiguchi,No,,,,function unknown and unique,
BG12900,yfiX,yfiX,606,YFIXd,Dr. Sekiguchi,No,,,,conserved membrane protein,
BG12901,yfiY,yfiY,325,YFIYd,Dr. Sekiguchi,No,,,,ABC transport system substrate-binding protein,
BG12902,yfiZ,yfiZ,333,YFIZd,Dr. Sekiguchi,No,,,,ABC transport system permease protein,
BG12876,yfhA,yfhA,343,YFHAd,Dr. Sekiguchi,No,,,,ABC transport system permease protein,
BG12877,yfhB,yfhB,293,YFHBd,Dr. Sekiguchi,No,,,,putative epimerase,
BG12878,yfhC,yfhC,194,YFHCd,Dr. Sekiguchi,No,,,,nitroreductase family,
BG12879,yfhD,yfhD,63,YFHDdd,Dr. Sekiguchi,No,,,,function unknown and unique,
BG12880,yfhE,yfhE,36,YFHEdd,Dr. Sekiguchi,No,,,,function unknown and unique,
BG12881,yfhF,yfhF,303,YFHFd,Dr. Sekiguchi,No,,,,NAD dependent epimerase/dehydratase family,
BG12882,yfhG,yfhG,264,YFHGd,Dr. Sekiguchi,No,,,,conserved protein,
BG12883,yfhH,yfhH,104,YFHHd,Dr. Sekiguchi,No,,,,conserved protein,
BG12884,yfhI,yfhI,397,YFHId,Dr. Sekiguchi,No,,,,similar to antibiotic resistance protein,
BG14175,sspK,sspK,50,,,,No,,,small acid-soluble spore protein (minor),Gene 2000 May 2;248(1-2):169-81
BG12885,yfhJ,yfhJ,89,YFHJdd,Dr. Sekiguchi,No,,,,conserved protein,
BG12886,yfhK,yfhK,172,YFHKd,Dr. Sekiguchi,No,,,,similar to B. subtilis ywsB,
BG12887,yfhL,yfhL,110,YFHLdd,Dr. Sekiguchi,No,,,,function unknown and unique,
BG12888,yfhM,yfhM,286,YFHMd,Dr. Sekiguchi,No,,,,similar to epoxide hydrolase,
BG11834,csbB,csbB,329,CSBBd,Dr. Sekiguchi,No,,,,"stress response protein, putative glycosyltransferase",
BG12889,yfhO,yfhO,819,YFHOd,Dr. Sekiguchi,No,,,,conserved membrane protein,
BG12890,yfhP,yfhP,327,YFHPd,Dr. Sekiguchi,No,,,,"negative regulator of yfhQ, fabL, sspE and yfhP",
BG12891,yfhQ,yfhQ,369,YFHQd,Dr. Sekiguchi,No,,,,similar to A/G-specific adenine glycosylase,
BG12892,yfhS,yfhS,74,YFHSd,Dr. Sekiguchi,No,,,,conserved protein,
BG12221,fabL,fabL,250,YFHRd,Dr. Sekiguchi,No,,,,enoyl-acyl carrier protein reductase,
BG10789,sspE,sspE,84,SSPEd,Dr. Sekiguchi,No,,,,small acid-soluble spore protein (major gamma-type SASP),
BG12222,ygaB,ygaB,114,YGABd,Dr. Ogasawara,No,,,,function unknown and unique,
BG12223,ygaC,ygaC,176,YGACd,Dr. Ogasawara,No,,,,conserved protein,
BG12224,ygaD,ygaD,589,BFS416,Dr. Mellado,No,,,,similar to ABC transporter (ATP-binding protein),
BG12225,ygaE,ygaE,353,BFS422,Dr. Mellado,No,,,,conserved membrane protein,
BG11943,gsaB,gsaB,429,GSABd,Dr. Ogasawara,No,,,,glutamate-1-semialdehyde aminotransferase,
BG12226,ygaF,ygaF,157,YGAFc,Dr. Ogasawara,No,,,,AhpC/TSA family,
BG12227,perR,perR,145,BFS430,Dr. Mellado,No,,,,"transcriptional repressor of the peroxide regulon (mrgA, katA, ahpCF)",
BG14192,ygzB,ygzB,117,YGAHd,Dr. Ogasawara,No,,,,conserved membrane protein,
BG10951,ygxA,ygxA,294,BFS423,Dr. Mellado,No,,,,conserved protein,
BG12229,spo0M,spo0M,258,,,,No,,,sporulation-control gene,Gene 1998 Sep 14;217(1-2):31-40
BG12981,ygzA,ygzA,67,YGZAc,Dr. Ogasawara,No,,,,function unknown and unique,
BG12230,ygaJ,ygaJ,251,BFS417,Dr. Mellado,No,,,,conserved protein,
BG11246,thiC,thiC,590,BFS418,Dr. Mellado,No,,,,biosynthesis of the pyrimidine moiety of thiamin,
BG12231,ygaK,ygaK,367,BFS418,Dr. Mellado,No,,,,FAD/FMN-containing dehydrogenase,
BG10747,senS,senS,72,BFS418,Dr. Mellado,No,,,,transcriptional regulator of extracellular enzyme genes,
BG10849,katA,katA,483,,,,No,,,vegetative catalase 1,Gene 1991 Dec 20;109(1):31-7
BG12232,ssuB,ssuB,270,BFS421,Dr. Mellado,No,,,,aliphatic sulfonates transport system ATP-binding protein,
BG10656,ssuA,ssuA,332,BFS424,Dr. Mellado,No,,,,aliphatic sulfonates transport system substrate-binding protein,
BG10657,ssuC,ssuC,276,BFS419,Dr. Mellado,No,,,,aliphatic sulfonates transport system permease protein,
BG10658,ssuD,ssuD,376,YGCAd,Dr. Sadaie,No,,,,aliphatic sulfonate monooxygenase,
BG12233,ygaN,ygaN,178,BFS426,Dr. Mellado,No,,,,function unknown and unique,
BG13085,yhzA,yhzA,89,YHZAc,Dr. Ogasawara,No,,,,30S ribosomal protein S14,
BG12234,ygaO,ygaO,157,YGAOd,Dr. Sadaie,No,,,,function unknown and unique,
BG12236,yhbA,yhbA,435,BFS412,Dr. Mellado,No,,,,iron-sulfur-binding protein,
BG13086,yhzB,yhzB,207,YHZBd,Dr. Sadaie,No,,,,conserved protein,
BG11811,yhbB,yhbB,311,BFS413,Dr. Mellado,No,,,,conserved protein,
BG11802,cspR,cspR,160,CSPRp,Dr. Ogasawara,Yes,,,,rRNA methylase,
BG12237,yhbD,yhbD,238,BFS425,Dr. Mellado,No,,,,conserved protein,
BG10802,yhbE,yhbE,237,BFS427,Dr. Mellado,No,,,,conserved protein,
BG10803,yhbF,yhbF,235,BFS428,Dr. Mellado,No,,,,conserved protein,
BG10804,prkA,prkA,631,BFS414,Dr. Mellado,No,,,,serine protein kinase,
BG11238,yhbH,yhbH,392,BFS414,Dr. Mellado,No,,,,conserved protein,
BG13003,yhbI,yhbI,154,YHBId,Dr. Fujita,No,,,,probable transcriptional regulator (MarR family),
BG13004,yhbJ,yhbJ,221,YHBJd,Dr. Sadaie,No,,,,conserved protein,
BG11579,yhcA,yhcA,532,YHCAd,Dr. Sadaie,No,,,,similar to multidrug resistance protein,
BG11580,yhcB,yhcB,176,YHCBd,Dr. Sadaie,No,,,,"similar to trp repressor binding protein, similar to flavodoxin",
BG11581,yhcC,yhcC,124,BFS1624/1635,Dr. Bron,No,,,,function unknown and unique,
BG11582,yhcD,yhcD,51,YHCDc,Dr. Ogasawara,No,,,,function unknown and unique,
BG11583,yhcE,yhcE,253,BFS1608,Dr. Bron,No,,,,function unknown and unique,
BG11584,yhcF,yhcF,121,YHCFd,Dr. Fujita,No,,,,probable transcriptional regulator (GntR family),
BG11585,yhcG,yhcG,232,BFS1609,Dr. Bron,No,,,,ABC-2 type transport system ATP-binding protein,
BG11586,yhcH,yhcH,305,BFS1601,Dr. Bron,No,,,,ABC-2 type transport system ATP-binding protein,
BG11587,yhcI,yhcI,313,BFS1602,Dr. Bron,No,,,,ABC-2 type transport system permease protein,
BG10824,cspB,cspB,67,BFS1603,Dr. Bron,No,,,,major cold-shock protein,
BG11588,yhcJ,yhcJ,263,BFS1603,Dr. Bron,No,,,,putative ABC transport system transport system substrate-binding protein,
BG11589,yhcK,yhcK,359,BFS1604,Dr. Bron,No,,,,conserved membrane protein,
BG11590,yhcL,yhcL,463,BFS1605,Dr. Bron,No,,,,similar to sodium-glutamate symporter,
BG11591,yhcM,yhcM,151,BFS1625,Dr. Bron,No,,,,function unknown and unique,
BG11592,yhcN,yhcN,189,BFS1626,Dr. Bron,No,,,,inner spore membrane protein,
BG11593,yhcO,yhcO,99,BFS1633,Dr. Bron,No,,,,function unknown and unique,
BG11594,yhcP,yhcP,205,BFS1615,Dr. Bron,No,,,,function unknown and unique,
BG11595,yhcQ,yhcQ,217,BFS1628,Dr. Bron,No,,,,conserved protein,
BG11596,yhcR,yhcR,1217,BFS1618,Dr. Bron,No,,,,similar to 5'-nucleotidase,
BG11597,yhcS,yhcS,198,BFS1614,Dr. Bron,No,,,,conserved protein,
BG11598,yhcT,yhcT,302,BFS1620,Dr. Bron,No,,,,similar to pseudouridylate synthase,
BG11599,yhcU,yhcU,131,BFS1629/1636,Dr. Bron,No,,,,function unknown and unique,
BG11600,yhcV,yhcV,140,YHCVd,Dr. Sadaie,No,,,,conserved protein,
BG11601,yhcW,yhcW,220,BFS1610,Dr. Bron,No,,,,similar to phosphoglycolate phosphatase,
BG11602,yhcX,yhcX,513,BFS1627,Dr. Bron,No,,,,conserved protein,
BG10184,yhxA,yhxA,450,YHXAd,Dr. Sadaie,No,,,,probable aminotransferase,
BG10185,glpP,glpP,192,,,,No,,,transcriptional antiterminator,J Gen Microbiol 1993 Feb;139 ( Pt 2):349-59
BG10186,glpF,glpF,274,,,,No,,,glycerol uptake facilitator protein,J Gen Microbiol 1993 Feb;139 ( Pt 2):349-59
BG10187,glpK,glpK,496,,,,No,,,glycerol kinase,J Gen Microbiol 1993 Feb;139 ( Pt 2):349-59
BG10188,glpD,glpD,555,,,,No,,,glycerol-3-phosphate dehydrogenase,J Gen Microbiol 1993 Feb;139 ( Pt 2):349-59
BG10189,yhxB,yhxB,565,YHXBd,Dr. Sadaie,No,,,,probable phosphomannomutase (PMM),
BG13005,yhcY,yhcY,379,BFS1714,Dr. Bron,No,,,,two-component sensor histidine kinase. potential cognate response regulator is YhcZ,
BG13006,yhcZ,yhcZ,214,BFS1715,Dr. Bron,No,,,,two-component response regulator. potential cognate sensor kinase is YhcY,
BG13007,yhdA,yhdA,174,BFS1650,Dr. Bron,No,,,,conserved protein,
BG13008,yhdB,yhdB,80,BFS1651,Dr. Bron,No,,,,function unknown and unique,
BG13009,yhdC,yhdC,107,BFS1652,Dr. Bron,No,,,,function unknown and unique,
BG13010,lytF,lytF,488,BFS1653,Dr. Bron,No,,,,"gamma-D-glutamate-meso-diaminopimelate muropeptidase, peptidoglycan hydrolase, DL-endopeptidase II family",
BG13011,yhdE,yhdE,146,BFS1653,Dr. Bron,No,,,,putative transcriptional regulator,
BG10182,spoVR,spoVR,468,,,,No,,,stage V sporulation protein R (spore cortex synthesis),J Bacteriol 1994 Apr;176(7):2003-12
BG10181,ygxB,ygxB,552,YGXBd,Dr. Sadaie,No,,,,conserved membrane protein,
BG10183,phoA,phoA,461,,,,No,,,alkaline phosphatase A, J Bacteriol 1994 Mar;176(5):1348-58
BG11406,lytE,lytE,343,,,,No,,,"peptidoglycan hydrolase, DL-endopeptidase II family",J Bacteriol 1998 Feb;180(3):749-52
BG10853,citR,citR,308,,,,No,,,transcriptional repressor of the citrate synthase I gene (LysR family), J Bacteriol 1994 Aug;176(15):4680-90
BG10854,citA,citA,366,,,,No,,,citrate synthase I, J Bacteriol 1994 Aug;176(15):4669-79
BG13012,yhdF,yhdF,289,YHDFd,Dr. Sadaie,No,,,,similar to glucose 1-dehydrogenase,
BG13013,yhdG,yhdG,465,YHDGd,Dr. Sadaie,No,,,,similar to amino acid transporter,
BG13014,yhdH,yhdH,451,BFS1654,Dr. Bron,No,,,,similar to sodium-dependent transporter,
BG13015,yhdI,yhdI,469,YHDId,Dr. Fujita,No,,,,probable  transcriptional regulator (GntR family)  with a aminotransferase  domain,
BG13016,yhdJ,yhdJ,142,YHDJd,Dr. Sadaie,No,,,,probable Acetyltransferase,
BG13017,yhdK,yhdK,96,BFS1655,Dr. Bron,No,,,,function unknown and unique,
BG13018,yhdL,yhdL,358,YHDLp,Dr. Sadaie,Yes,,,,function unknown and unique,
BG13019,sigM,sigM,163,,,,No,,,RNA polymerase ECF-type sigma factor,Mol Microbiol 1999 Apr;32(1):41-50
BG13020,yhdN,yhdN,331,BFS1659,Dr. Bron,No,,,,"general stress protein, similar to aldo/keto reductase",
BG13021,yhdO,plsC,199,YHDOp,Dr. Sadaie,Yes,,,,1-acylglycerol-3-phosphate O-acyltransferase,
BG13022,yhdP,yhdP,444,BFS1660,Dr. Bron,No,,,,similar to hemolysin,
BG13023,yhdQ,yhdQ,143,YHDQd,Dr. Fujita,No,,,,probable transcriptional regulator (MerR family),
BG13024,yhdR,yhdR,393,YHDRd,Dr. Sadaie,No,,,,similar to aspartate aminotransferase,
BG13025,yhdS,yhdS,36,BFS1661,Dr. Bron,No,,,,function unknown and unique,
BG13026,yhdT,yhdT,461,BFS1662,Dr. Bron,No,,,,similar to hemolysin,
BG13027,yhdU,yhdU,118,YHDUd,Dr. Sadaie,No,,,,integral membrane protein possibly involved in chromosome condensation,
BG13028,yhdV,yhdV,131,BFS1663,Dr. Bron,No,,,,integral membrane protein possibly involved in chromosome condensation,
BG13029,yhdW,yhdW,243,YHDWd,Dr. Sadaie,No,,,,similar to glycerophosphodiester phosphodiesterase,
BG13030,yhdX,yhdX,35,BFS1664,Dr. Bron,No,,,,function unknown and unique,
BG13031,yhdY,yhdY,371,BFS1665,Dr. Bron,No,,,,similar to small-conductance mechanosensitive channel protein,
BG13032,yhdZ,yhdZ,247,YHDZd,Dr. Sadaie,No,,,,conserved protein,
BG13046,yheN,yheN,282,BFS1682,Dr. Bron,No,,,,"similar to endo-1,4-beta-xylanase",
BG13045,dat,dat,282,YHEMd,Dr. Sadaie,No,,,,D-alanine aminotransferase,
BG13044,nhaC,nhaC,453,BFS1681,Dr. Bron,No,,,,Na+/H+ antiporter,
BG13043,nhaX,nhaX,166,BFS1680,Dr. Bron,No,,,,regulator of nhaC,
BG13042,yheJ,yheJ,53,BFS1679,Dr. Bron,No,,,,function unknown and unique,
BG13041,yheI,yheI,585,YHEId,Dr. Sadaie,No,,,,similar to ABC transporter (ATP-binding protein),
BG13040,yheH,yheH,673,YHEHd,Dr. Sadaie,No,,,,similar to ABC transporter (ATP-binding protein),
BG13039,yheG,yheG,206,YHEGd,Dr. Sadaie,No,,,,conserved protein,
BG13038,yheF,yheF,41,YHEFc,Dr. Ogasawara,No,,,,function unknown and unique,
BG10787,sspB,sspB,67,,,,No,,,small acid-soluble spore protein (major beta-type SASP), J Bacteriol 1986 May;166(2):417-25
BG13037,yheE,yheE,72,BFS1675,Dr. Bron,No,,,,conserved protein,
BG13036,yheD,yheD,453,YHEDd,Dr. Sadaie,No,,,,conserved protein,
BG13035,yheC,yheC,363,YHECd,Dr. Sadaie,No,,,,conserved protein,
BG13034,yheB,yheB,377,YHEBd,Dr. Sadaie,No,,,,conserved membrane protein,
BG13033,yheA,yheA,117,YHEAd,Dr. Sadaie,No,,,,conserved protein,
BG13002,yhaZ,yhaZ,357,BFS1632,Dr. Bron,No,,,,conserved protein,
BG13001,yhaY,yhaY,83,YHAYc,Dr. Ogasawara,No,,,,function unknown and unique,
BG13000,yhaX,yhaX,288,BFS1631,Dr. Bron,No,,,,putative hydrolase,
BG12999,hemZ,hemZ,501,BFS1639/YHAVd,Dr. Bron/Dr. Sadaie,No,,,,coproporphyrinogen III oxidase,
BG12997,yhaU,yhaU,408,BFS1638,Dr. Bron,No,,,,similar to Na+/H+ antiporter,
BG12996,yhaT,yhaT,165,BFS1630,Dr. Bron,No,,,,conserved protein,
BG12995,yhaS,yhaS,112,BFS1637,Dr. Bron,No,,,,function unknown and unique,
BG12994,yhaR,yhaR,255,YHARd,Dr. Sadaie,No,,,,enoyl-CoA hydratase/isomerase family,
BG12993,yhaQ,yhaQ,298,BFS1646,Dr. Bron,No,,,,putative ABC-2 type transport system ATP-binding protein,
BG12992,yhaP,yhaP,419,BFS1623,Dr. Bron,No,,,,putative ABC-2 type transport system permease protein,
BG12991,yhaO,yhaO,408,BFS1617,Dr. Bron,No,,,,conserved protein,
BG12990,yhaN,yhaN,963,BFS1616,Dr. Bron,No,,,,conserved protein,
BG12989,yhaM,yhaM,314,YHAMd,Dr. Sadaie,No,,,,"similar to CMP-binding factor, HD domain of metal-dependent phosphohydrolase",
BG12988,yhaL,yhaL,70,YHALc,Dr. Ogasawara,No,,,,function unknown and unique,
BG10464,prsA,prsA,292,PRSAp,Dr. Ogasawara,Yes,,,,pric/parvulin family of rotamase, Mol Microbiol 1991 May;5(5):1273-83
BG12987,yhaK,yhaK,84,YHAKc,Dr. Ogasawara,No,,,,conserved membrane protein,
BG12986,yhaJ,yhaJ,79,YHAJc,Dr. Ogasawara,No,,,,conserved membrane protein,
BG12985,yhaI,yhaI,113,BFS1640,Dr. Bron,No,,,,function unknown and unique,
BG10659,hpr,hpr,203,,,,No,,,transcriptional regulator for peptide transport and sporulation initiation (MarR family), J Bacteriol 1988 Jun;170(6):2560-7
BG12984,yhaH,yhaH,118,BFS1622,Dr. Bron,No,,,,similar to acid-stress response protein,
BG12983,yhaG,yhaG,172,BFS1645,Dr. Bron,No,,,,possible transmembrane protein involved in tryptophan transport,
BG12673,serC,serC,359,BFS1642,Dr. Bron,No,,,,phosphoserine aminotransferase,
BG12607,hit,hit,145,BFS1647,Dr. Bron,No,,,,Hit-like protein assumed to be involved in cell-cycle regulation,
BG11516,ecsA,ecsA,247,,,,No,,,ABC-2 type transport system ATP-binding protein,Mol Microbiol 1999 Jan;31(2):533-43
BG11517,ecsB,ecsB,408,,,,No,,,ABC-2 type transport system permease protein,Mol Microbiol 1999 Jan;31(2):533-43
BG11518,ecsC,ecsC,236,,,,No,,,conserved protein,Mol Microbiol 1999 Jan;31(2):533-43
BG12982,yhaA,yhaA,396,YHAAd,Dr. Sadaie,No,,,,similar to aminoacylase,
BG13047,yhfA,yhfA,463,YHFAd,Dr. Sadaie,No,,,,conserved membrane protein,
BG10426,yhgB,yhgB,104,YHGBd,Dr. Sadaie,No,,,,function unknown and unique,
BG10427,yhgC,yhgC,166,YHGCd,Dr. Sadaie,No,,,,conserved protein,
BG10428,pbpF,pbpF,714,,,,No,,,penicillin-binding protein 1a (pbp-1a),J Bacteriol 1993 Aug;175(15):4870-6
BG10429,hemE,hemE,353,,,,No,,,uroporphyrinogen III decarboxylase,J Bacteriol 1992. 174:8081-8093
BG10430,hemH,hemH,310,,,,No,,,ferrochelatase,J Bacteriol 1992. 174:8081-8093
BG10431,hemY,hemY,470,,,,No,,,protoporphyrinogen IX and coproporphyrinogen III oxidase,J Bacteriol 1992. 174:8081-8093
BG10432,yhgD,yhgD,191,YHGDd,Dr. Fujita,No,,,,probable transcriptional regulator (TetR/AcrR family),
BG10433,yhgE,yhgE,775,BFS1732,Dr. Bron,No,,,,"conserved membrane protein, similar to phage infection protein",
BG13048,fabHB,fabH2,325,YHFBd,Dr. Sadaie,No,,,,beta-ketoacyl-acyl carrier protein synthase III,
BG13049,yhfC,yhfC,258,BFS1691,Dr. Bron,No,,,,conserved membrane protein,
BG13050,yhfD,yhfD,67,YHFDc,Dr. Ogasawara,No,,,,function unknown and unique,
BG13051,yhfE,yhfE,346,BFS1692,Dr. Bron,No,,,,"endo-1,4-glucanase",
BG13052,yhfF,yhfF,135,YHFFd,Dr. Yoshikawa,No,,,,conserved protein,
BG12595,gltT,gltT,429,,,,,No,,proton/sodium-glutamate symport protein,
BG13053,yhfH,yhfH,46,YHFHc,Dr. Ogasawara,No,,,,function unknown and unique,
BG13054,yhfI,yhfI,244,YHFId,Dr. Sadaie,No,,,,conserved protein,
BG13055,yhfJ,yhfJ,331,YHFJd,Dr. Sadaie,No,,,,similar to lipoate-protein ligase,
BG13056,yhfK,yhfK,214,BFS1693,Dr. Bron,No,,,,conserved protein,
BG13057,yhfL,yhfL,513,YHFLd,Dr. Sadaie,No,,,,similar to long-chain fatty-acid-CoA ligase,
BG13058,yhfM,yhfM,131,BFS1694,Dr. Bron,No,,,,function unknown and unique,
BG11029,yhfN,yhfN,426,BFS1695,Dr. Bron,No,,,,putative Zn-dependent protease,
BG10190,aprE,aprE,381,,,,No,,,serine alkaline protease (subtilisin E),"A. Galizzi, personal communication"
BG13059,yhfO,yhfO,149,BFS1696,Dr. Bron,No,,,,acetyltransferase (GNAT) family,
BG13060,yhfP,yhfP,330,BFS1697,Dr. Bron,No,,,,Zinc-binding dehydrogenase,
BG13061,yhfQ,yhfQ,348,YHFQd,Dr. Sadaie,No,,,,putative iron(III) dicitrate transport system substrate-binding protein,
BG13062,yhfR,yhfR,193,BFS415,Dr. Mellado,No,,,,"similar to 2,3-diphosphoglycerate-dependent phosphoglycerate mutase",
