Position,Locus Tag,Replicon,Class - General,Class - Specific,# TA Sites,% Sites Hit,Reads per Site Hit,EL-ARTIST Call,Gene Function,Protein ID,%GC,K12 Homolog ,Call in Keio Collection,COG,,,,,,,,,,,,,,,,,,,,,,,
1168,EDL933_RS05620,chromosome,protein_coding,protein_coding,11,64,10,Neutral,hypothetical protein,WP_001258406.1,54.7,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1169,EDL933_RS05625,chromosome,protein_coding,protein_coding,21,67,16,Neutral,hypothetical protein,WP_001303906.1,53.2,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1170,EDL933_RS05630,chromosome,protein_coding,protein_coding,7,43,16,Neutral,DUF957 domain-containing protein,WP_000839282.1,51.0,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1171,EDL933_RS05635,chromosome,protein_coding,protein_coding,32,72,13,Neutral,DUF4942 domain-containing protein,WP_001280481.1,48.4,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1172,EDL933_RS05640,chromosome,RNA,tRNA,3,67,2,Neutral,tRNA-Ser,---,61.4,b1032,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1173,EDL933_RS05645,chromosome,protein_coding,protein_coding,11,18,2,Underrepresented,translation initiation factor IF-1,WP_001040187.1,48.4,b0884,Essential,J,,,,,,,,,,,,,,,,,,,,,,,
1174,EDL933_RS04265,chromosome,protein_coding,protein_coding,54,28,7,Underrepresented,hypothetical protein,WP_001299184.1,36.3,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1175,EDL933_RS05650,chromosome,protein_coding,protein_coding,29,66,15,Neutral,leucyl/phenylalanyl-tRNA--protein transferase,WP_001241680.1,53.8,b0885,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
1176,EDL933_RS05655,chromosome,protein_coding,protein_coding,68,56,8,Neutral,cysteine/glutathione ABC transporter ATP-binding protein/permease CydC,WP_001202226.1,53.8,b0886,Not Essential,CO,,,,,,,,,,,,,,,,,,,,,,,
1177,EDL933_RS28780,plasmid,protein_coding,protein_coding,221,35,10,Regional,enterohemolysin,WP_000217739.1,39.3,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1178,EDL933_RS05665,chromosome,protein_coding,protein_coding,33,33,7,Neutral,thioredoxin reductase,WP_000537418.1,53.2,b0888,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
1179,EDL933_RS29785,chromosome,pseudogene,pseudogene,11,73,27,Neutral,hypothetical protein,---,48.7,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1180,EDL933_RS05670,chromosome,protein_coding,protein_coding,29,76,19,Neutral,leucine-responsive regulatory protein,WP_000228473.1,47.7,b0889,Not Essential,K,,,,,,,,,,,,,,,,,,,,,,,
1181,EDL933_RS05675,chromosome,protein_coding,protein_coding,159,32,7,Underrepresented,DNA translocase FtsK,WP_000076999.1,54.0,b0890,Essential,D,,,,,,,,,,,,,,,,,,,,,,,
1182,EDL933_RS05680,chromosome,protein_coding,protein_coding,23,17,24,Underrepresented,outer membrane lipoprotein carrier protein LolA,WP_001295343.1,51.0,b0891,Essential,M,,,,,,,,,,,,,,,,,,,,,,,
1183,EDL933_RS05685,chromosome,protein_coding,protein_coding,61,57,18,Neutral,replication-associated recombination protein A,WP_000067755.1,53.3,b0892,Not Essential,L,,,,,,,,,,,,,,,,,,,,,,,
1184,EDL933_RS28785,plasmid,protein_coding,protein_coding,184,33,8,Regional,alpha-hemolysin translocation ATP-binding protein HlyB,WP_000987091.1,37.4,---,Not Essential,V,,,,,,,,,,,,,,,,,,,,,,,
1185,EDL933_RS05695,chromosome,protein_coding,protein_coding,105,61,25,Neutral,dimethylsulfoxide reductase subunit A,WP_000850325.1,52.7,b0894,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
1186,EDL933_RS05700,chromosome,protein_coding,protein_coding,27,63,31,Neutral,"dimethylsulfoxide reductase, chain B",WP_000213047.1,51.6,b0895,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
1187,EDL933_RS05705,chromosome,protein_coding,protein_coding,31,71,35,Neutral,dimethyl sulfoxide reductase,WP_000534648.1,55.3,b0896,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
1188,EDL933_RS05710,chromosome,protein_coding,protein_coding,34,56,12,Neutral,hydrolase,WP_000165876.1,46.1,b0897,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1189,EDL933_RS05715,chromosome,protein_coding,protein_coding,54,78,19,Neutral,MFS transporter,WP_000109295.1,52.4,b0898,Not Essential,GEPR,,,,,,,,,,,,,,,,,,,,,,,
1190,EDL933_RS05720,chromosome,protein_coding,protein_coding,88,64,17,Neutral,amino acid permease,WP_000918514.1,47.7,b0899,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1191,EDL933_RS32075,chromosome,pseudogene,pseudogene,7,71,7,Neutral,transcriptional regulator,---,47.7,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1192,EDL933_RS05725,chromosome,protein_coding,protein_coding,29,62,8,Neutral,pyruvate formate lyase-activating protein,WP_000111043.1,49.5,b0902,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
1193,EDL933_RS05730,chromosome,pseudogene,pseudogene,136,68,25,Neutral,formate acetyltransferase,---,50.5,---,Not Essential,C/P,,,,,,,,,,,,,,,,,,,,,,,
1194,EDL933_RS05740,chromosome,protein_coding,protein_coding,74,72,13,Neutral,30S ribosomal protein S12 methylthiotransferase accessory protein YcaO,WP_001301741.1,50.8,b0905,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
1195,EDL933_RS05745,chromosome,protein_coding,protein_coding,32,81,19,Neutral,DUF421 domain-containing protein,WP_000642854.1,47.5,b0906,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1196,EDL933_RS05750,chromosome,protein_coding,protein_coding,45,64,13,Neutral,3-phosphoserine/phosphohydroxythreonine aminotransferase,WP_000057165.1,50.3,b0907,Not Essential,HE,,,,,,,,,,,,,,,,,,,,,,,
1197,EDL933_RS05755,chromosome,protein_coding,protein_coding,66,70,18,Neutral,3-phosphoshikimate 1-carboxyvinyltransferase,WP_000445231.1,50.3,b0908,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
1198,EDL933_RS05760,chromosome,protein_coding,protein_coding,35,63,21,Neutral,metalloprotease,WP_000799175.1,50.2,b0909,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
1199,EDL933_RS05765,chromosome,protein_coding,protein_coding,23,13,3,Underrepresented,cytidylate kinase,WP_000125016.1,53.7,b0910,Not Essential,F,,,,,,,,,,,,,,,,,,,,,,,
1200,EDL933_RS05770,chromosome,protein_coding,protein_coding,56,7,9,Underrepresented,30S ribosomal protein S1,WP_000140327.1,51.2,b0911,Essential,J,,,,,,,,,,,,,,,,,,,,,,,
1201,EDL933_RS05775,chromosome,protein_coding,protein_coding,15,40,5,Neutral,integration host factor subunit beta,WP_000167336.1,49.1,b0912,Not Essential,L,,,,,,,,,,,,,,,,,,,,,,,
1202,EDL933_RS05780,chromosome,protein_coding,protein_coding,105,61,26,Neutral,ComEC family protein,WP_000705685.1,49.7,b0913,Not Essential,R,,,,,,,,,,,,,,,,,,,,,,,
1203,EDL933_RS05785,chromosome,protein_coding,protein_coding,67,16,6,Underrepresented,lipid A export ATP-binding/permease MsbA,WP_000551270.1,50.8,b0914,Essential,V,,,,,,,,,,,,,,,,,,,,,,,
1204,EDL933_RS05790,chromosome,protein_coding,protein_coding,32,25,10,Underrepresented,tetraacyldisaccharide 4'-kinase,WP_000570541.1,55.2,b0915,Essential,M,,,,,,,,,,,,,,,,,,,,,,,
1205,EDL933_RS05795,chromosome,protein_coding,protein_coding,51,63,13,Neutral,winged helix-turn-helix domain-containing protein,WP_000056545.1,52.3,b0916,Not Essential,R,,,,,,,,,,,,,,,,,,,,,,,
1206,EDL933_RS05800,chromosome,protein_coding,protein_coding,4,0,0,Underrepresented,protein YcaR,WP_000350058.1,48.1,b0917,Not Essential,S,,,,,,,,,,,,,,,,,,,,,,,
1207,EDL933_RS05805,chromosome,protein_coding,protein_coding,25,8,9,Underrepresented,3-deoxy-manno-octulosonate cytidylyltransferase,WP_000011613.1,53.7,b0918,Essential,M,,,,,,,,,,,,,,,,,,,,,,,
1208,EDL933_RS05810,chromosome,protein_coding,protein_coding,34,62,22,Neutral,protein kinase-like domain protein,WP_000436922.1,52.2,b0919,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1209,EDL933_RS05815,chromosome,protein_coding,protein_coding,34,62,12,Neutral,envelope biogenesis factor ElyC,WP_000899600.1,51.9,b0920,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1210,EDL933_RS05820,chromosome,protein_coding,protein_coding,29,72,26,Neutral,tRNA uridine 5-oxyacetic acid(34) methyltransferase CmoM,WP_001301572.1,51.7,b0921,Not Essential,QR,,,,,,,,,,,,,,,,,,,,,,,
1211,EDL933_RS05825,chromosome,protein_coding,protein_coding,44,18,7,Underrepresented,chromosome partition protein MukF,WP_001288845.1,52.5,b0922,Essential,D,,,,,,,,,,,,,,,,,,,,,,,
1212,EDL933_RS05830,chromosome,protein_coding,protein_coding,23,4,11,Underrepresented,condensin subunit E,WP_001302273.1,51.5,b0923,Essential,D,,,,,,,,,,,,,,,,,,,,,,,
1213,EDL933_RS05835,chromosome,protein_coding,protein_coding,119,12,7,Underrepresented,chromosome partition protein MukB,WP_000572668.1,55.8,b0924,Essential,D,,,,,,,,,,,,,,,,,,,,,,,
1214,EDL933_RS05840,chromosome,protein_coding,protein_coding,81,70,18,Neutral,"L,D-transpeptidase",WP_000925977.1,53.1,b0925,Not Essential,M,,,,,,,,,,,,,,,,,,,,,,,
1215,EDL933_RS29790,chromosome,pseudogene,pseudogene,11,73,12,Neutral,hypothetical protein,---,49.3,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1216,EDL933_RS05845,chromosome,protein_coding,protein_coding,33,64,16,Neutral,DUF882 domain-containing protein,WP_001295932.1,49.9,b0926,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1217,EDL933_RS05850,chromosome,protein_coding,protein_coding,19,74,18,Neutral,MBL fold metallo-hydrolase,WP_001109453.1,52.0,b0927,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1218,EDL933_RS05855,chromosome,protein_coding,protein_coding,43,58,19,Neutral,aspartate/tyrosine/aromatic aminotransferase,WP_000462673.1,52.4,b0928,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
1219,EDL933_RS05865,chromosome,protein_coding,protein_coding,66,68,28,Neutral,phosphoporin PhoE,WP_000977914.1,47.7,b0929,Not Essential,M,,,,,,,,,,,,,,,,,,,,,,,
1220,EDL933_RS32955,plasmid,protein_coding,protein_coding,15,40,19,Regional,hypothetical protein,WP_010891288.1,43.7,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1221,EDL933_RS05875,chromosome,protein_coding,protein_coding,53,68,19,Neutral,nicotinate phosphoribosyltransferase,WP_001301736.1,51.1,b0931,Not Essential,H,,,,,,,,,,,,,,,,,,,,,,,
1222,EDL933_RS05880,chromosome,protein_coding,protein_coding,92,62,21,Neutral,aminopeptidase N,WP_000193803.1,53.6,b0932,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
1223,EDL933_RS05885,chromosome,protein_coding,protein_coding,23,70,12,Neutral,aliphatic sulfonate ABC transporter ATP-binding protein,WP_001090506.1,55.3,b0933,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
1224,EDL933_RS05890,chromosome,protein_coding,protein_coding,25,92,16,Neutral,sulfonate ABC transporter,WP_000235211.1,55.2,b0934,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
1225,EDL933_RS05895,chromosome,protein_coding,protein_coding,33,49,17,Neutral,alkanesulfonate monooxygenase,WP_000055981.1,57.5,b0935,Not Essential,HR,,,,,,,,,,,,,,,,,,,,,,,
1226,EDL933_RS05900,chromosome,protein_coding,protein_coding,45,71,23,Neutral,aliphatic sulfonate ABC transporter substrate-binding protein,WP_001244347.1,52.5,b0936,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
1227,EDL933_RS05905,chromosome,protein_coding,protein_coding,23,44,20,Neutral,NADPH-dependent FMN reductase,WP_001263919.1,53.8,b0937,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
1228,EDL933_RS32080,chromosome,pseudogene,pseudogene,4,25,6,Underrepresented,transposase,---,41.9,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1229,EDL933_RS28875,plasmid,protein_coding,protein_coding,54,59,9,Regional,protein SopB,WP_000817031.1,46.0,---,Not Essential,D,,,,,,,,,,,,,,,,,,,,,,,
1230,EDL933_RS00095,chromosome,protein_coding,protein_coding,43,33,9,Regional,hypothetical protein,WP_001302845.1,36.9,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1231,EDL933_RS05920,chromosome,pseudogene,pseudogene,148,70,21,Neutral,outer membrane usher protein,---,47.6,b0940,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1232,EDL933_RS05925,chromosome,protein_coding,protein_coding,59,66,19,Neutral,fimbrial protein,WP_001165677.1,49.0,b0941,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1233,EDL933_RS29800,chromosome,protein_coding,protein_coding,9,33,6,Neutral,hypothetical protein,WP_001451254.1,42.2,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1234,EDL933_RS05930,chromosome,protein_coding,protein_coding,27,59,24,Neutral,fimbrial protein,WP_077626202.1,47.7,b0942,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1235,EDL933_RS05935,chromosome,protein_coding,protein_coding,26,46,31,Neutral,type 1 fimbrial protein,WP_000919493.1,47.5,b0943,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1236,EDL933_RS05940,chromosome,pseudogene,pseudogene,34,68,27,Neutral,pili assembly chaperone,---,51.7,b0944,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1237,EDL933_RS05945,chromosome,protein_coding,protein_coding,59,36,9,Neutral,dihydroorotate dehydrogenase (quinone),WP_001295352.1,46.4,b0945,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1238,EDL933_RS05950,chromosome,protein_coding,protein_coding,21,71,17,Neutral,cell division protein ZapC,WP_001301917.1,49.2,b0946,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1239,EDL933_RS05955,chromosome,protein_coding,protein_coding,42,79,21,Neutral,hypothetical protein,WP_000224291.1,50.2,b0947,Not Essential,R,,,,,,,,,,,,,,,,,,,,,,,
1240,EDL933_RS05960,chromosome,protein_coding,protein_coding,71,63,17,Neutral,ribosomal RNA large subunit methyltransferase K/L,WP_001086511.1,54.2,b0948,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
1241,EDL933_RS05965,chromosome,protein_coding,protein_coding,64,50,10,Neutral,ABC transporter ATP-binding protein,WP_000053083.1,53.1,b0949,Not Essential,R,,,,,,,,,,,,,,,,,,,,,,,
1242,EDL933_RS05970,chromosome,protein_coding,protein_coding,47,55,24,Neutral,paraquat-inducible protein A,WP_000333170.1,52.2,b0950,Not Essential,S,,,,,,,,,,,,,,,,,,,,,,,
1243,EDL933_RS05975,chromosome,protein_coding,protein_coding,58,48,16,Neutral,paraquat-inducible protein B,WP_000445550.1,50.3,b0951,Not Essential,S,,,,,,,,,,,,,,,,,,,,,,,
1244,EDL933_RS05980,chromosome,protein_coding,protein_coding,25,60,13,Neutral,hypothetical protein,WP_000759107.1,52.7,b0952,Not Essential,S,,,,,,,,,,,,,,,,,,,,,,,
1245,EDL933_RS05985,chromosome,protein_coding,protein_coding,4,75,18,Neutral,ribosome modulation factor,WP_000828648.1,54.2,b0953,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
1246,EDL933_RS05990,chromosome,protein_coding,protein_coding,22,14,2,Underrepresented,beta-hydroxydecanoyl-ACP dehydratase,WP_000227927.1,53.2,b0954,Essential,I,,,,,,,,,,,,,,,,,,,,,,,
1247,EDL933_RS05995,chromosome,protein_coding,protein_coding,65,65,11,Neutral,ATP-dependent protease,WP_000156526.1,52.0,b0955,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
1248,EDL933_RS06000,chromosome,protein_coding,protein_coding,15,53,16,Neutral,macrodomain Ter protein,WP_000877161.1,46.4,b0956,Not Essential,L,,,,,,,,,,,,,,,,,,,,,,,
1249,EDL933_RS06005,chromosome,protein_coding,protein_coding,42,50,15,Neutral,outer membrane protein A,WP_000750416.1,53.6,b0957,Not Essential,M,,,,,,,,,,,,,,,,,,,,,,,
1250,EDL933_RS06010,chromosome,protein_coding,protein_coding,11,36,4,Neutral,hypothetical protein,WP_001326464.1,37.0,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1251,EDL933_RS06015,chromosome,protein_coding,protein_coding,26,50,34,Neutral,cell division inhibitor SulA,WP_000288710.1,48.2,b0958,Not Essential,D,,,,,,,,,,,,,,,,,,,,,,,
1252,EDL933_RS06020,chromosome,protein_coding,protein_coding,29,66,18,Neutral,Crp/Fnr family transcriptional regulator,WP_000839159.1,47.9,b0959,Not Essential,K,,,,,,,,,,,,,,,,,,,,,,,
1253,EDL933_RS06025,chromosome,protein_coding,protein_coding,94,70,30,Neutral,TIGR01666 family membrane protein,WP_001372774.1,52.2,b0960,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1254,EDL933_RS06030,chromosome,protein_coding,protein_coding,20,50,28,Neutral,YccF domain-containing protein,WP_001261230.1,48.5,b0961,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1255,EDL933_RS06035,chromosome,protein_coding,protein_coding,68,59,17,Neutral,DNA helicase IV,WP_001301436.1,52.8,b0962,Not Essential,L,,,,,,,,,,,,,,,,,,,,,,,
1256,EDL933_RS06040,chromosome,protein_coding,protein_coding,17,53,45,Neutral,methylglyoxal synthase,WP_000424181.1,52.7,b0963,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
1257,EDL933_RS06045,chromosome,protein_coding,protein_coding,24,58,15,Neutral,DUF2057 domain-containing protein,WP_000847791.1,50.5,b0964,Not Essential,S,,,,,,,,,,,,,,,,,,,,,,,
1258,EDL933_RS06055,chromosome,protein_coding,protein_coding,15,67,5,Neutral,CoA-binding protein,WP_000665217.1,55.6,b0965,Not Essential,R,,,,,,,,,,,,,,,,,,,,,,,
1259,EDL933_RS06060,chromosome,protein_coding,protein_coding,15,47,34,Neutral,heat-shock protein HspQ,WP_001295356.1,56.0,b0966,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
1260,EDL933_RS06065,chromosome,protein_coding,protein_coding,54,61,20,Neutral,ribosomal RNA large subunit methyltransferase I,WP_000116288.1,52.0,b0967,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
1261,EDL933_RS00160,chromosome,protein_coding,protein_coding,35,60,19,Regional,non-specific ribonucleoside hydrolase RihC,WP_001239143.1,55.6,b0030,Not Essential,F,,,,,,,,,,,,,,,,,,,,,,,
1262,EDL933_RS06075,chromosome,protein_coding,protein_coding,17,18,6,Underrepresented,sulfurtransferase TusE,WP_000904442.1,46.7,b0969,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
1263,EDL933_RS06080,chromosome,protein_coding,protein_coding,38,55,28,Neutral,transmembrane protein,WP_000375128.1,50.3,b0970,Not Essential,R,,,,,,,,,,,,,,,,,,,,,,,
1264,EDL933_RS06085,chromosome,protein_coding,protein_coding,57,81,20,Neutral,integrase,WP_001299351.1,44.5,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1265,EDL933_RS06090,chromosome,protein_coding,protein_coding,11,82,13,Neutral,DUF4224 domain-containing protein,WP_000273151.1,43.6,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1266,EDL933_RS06095,chromosome,protein_coding,protein_coding,80,71,14,Neutral,exonuclease,WP_000034474.1,49.2,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1267,EDL933_RS06100,chromosome,protein_coding,protein_coding,14,57,7,Neutral,DUF1482 domain-containing protein,WP_001098307.1,40.6,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1268,EDL933_RS32085,chromosome,protein_coding,protein_coding,9,44,24,Neutral,cell division inhibition protein DicB,WP_000413705.1,40.7,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1269,EDL933_RS06110,chromosome,protein_coding,protein_coding,17,29,8,Underrepresented,hypothetical protein,WP_001303875.1,50.3,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1270,EDL933_RS24870,chromosome,protein_coding,protein_coding,42,48,16,Regional,phosphate ABC transporter permease,WP_000741620.1,55.0,b3727,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
1271,EDL933_RS24920,chromosome,protein_coding,protein_coding,15,13,7,Regional,ATP synthase epsilon chain,WP_001251961.1,55.0,b3731,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
1272,EDL933_RS32090,chromosome,protein_coding,protein_coding,6,67,7,Neutral,hypothetical protein,WP_000344963.1,45.7,b1572,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1273,EDL933_RS06125,chromosome,protein_coding,protein_coding,7,100,24,Neutral,DUF1391 domain-containing protein,WP_000379575.1,48.1,b1571,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1274,EDL933_RS32095,chromosome,pseudogene,pseudogene,5,80,11,Neutral,hypothetical protein,---,43.3,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1275,EDL933_RS29810,chromosome,protein_coding,protein_coding,10,50,11,Neutral,hypothetical protein,WP_071525099.1,44.7,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1276,EDL933_RS06130,chromosome,protein_coding,protein_coding,21,86,25,Neutral,type II toxin-antitoxin system RelE/ParE family toxin,WP_001303876.1,45.8,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1277,EDL933_RS06135,chromosome,protein_coding,protein_coding,11,73,21,Neutral,hypothetical protein,WP_000536233.1,43.2,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1278,EDL933_RS24970,chromosome,protein_coding,protein_coding,70,39,14,Regional,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,WP_000499793.1,54.4,b3741,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
1279,EDL933_RS25075,chromosome,protein_coding,protein_coding,44,66,13,Regional,transcriptional regulator,WP_000379246.1,48.5,b4480,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1280,EDL933_RS25300,chromosome,protein_coding,protein_coding,120,49,13,Regional,adenylate cyclase,WP_000281680.1,52.0,b3806,Not Essential,F,,,,,,,,,,,,,,,,,,,,,,,
1281,EDL933_RS25370,chromosome,protein_coding,protein_coding,15,60,10,Regional,hypothetical protein,WP_001301726.1,43.9,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1282,EDL933_RS06160,chromosome,protein_coding,protein_coding,30,60,11,Neutral,hypothetical protein,WP_001205823.1,53.4,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1283,EDL933_RS06165,chromosome,protein_coding,protein_coding,22,55,9,Neutral,replication protein,WP_000788751.1,51.9,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1284,EDL933_RS06170,chromosome,protein_coding,protein_coding,25,44,5,Neutral,DUF1627 domain-containing protein,WP_000450992.1,53.0,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1285,EDL933_RS31570,chromosome,protein_coding,protein_coding,24,25,34,Regional,hypothetical protein,WP_001302955.1,35.1,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1286,EDL933_RS25575,chromosome,protein_coding,protein_coding,30,37,8,Regional,protein disulfide oxidoreductase DsbA,WP_000725337.1,47.8,b3860,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
1287,EDL933_RS06185,chromosome,protein_coding,protein_coding,11,73,22,Neutral,Hok/Gef family protein,WP_001013642.1,52.1,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1288,EDL933_RS32105,chromosome,protein_coding,protein_coding,11,55,8,Neutral,hypothetical protein,WP_001341388.1,54.1,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1289,EDL933_RS06195,chromosome,protein_coding,protein_coding,37,70,14,Neutral,DUF968 domain-containing protein,WP_001265172.1,53.0,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1290,EDL933_RS06200,chromosome,protein_coding,protein_coding,15,73,10,Neutral,endodeoxyribonuclease,WP_001217436.1,53.5,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1291,EDL933_RS25685,chromosome,protein_coding,protein_coding,50,56,22,Regional,aldose 1-epimerase,WP_001167549.1,48.2,b3879,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
1292,EDL933_RS25740,chromosome,protein_coding,protein_coding,57,35,13,Regional,hypothetical protein,WP_001304016.1,41.0,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1293,EDL933_RS06215,chromosome,pseudogene,pseudogene,9,78,13,Neutral,TrmB family transcriptional regulator,---,52.3,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1294,EDL933_RS06220,chromosome,protein_coding,protein_coding,41,66,19,Neutral,transcriptional regulator,WP_001302296.1,42.0,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1295,EDL933_RS06225,chromosome,RNA,tRNA,1,100,9,Neutral,tRNA-Arg,---,62.3,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1296,EDL933_RS06230,chromosome,RNA,tRNA,3,100,16,Neutral,tRNA-Arg,---,53.2,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1297,EDL933_RS32110,chromosome,pseudogene,pseudogene,6,50,25,Neutral,hypothetical protein,---,48.1,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1298,EDL933_RS06240,chromosome,protein_coding,protein_coding,76,80,17,Neutral,9-O-acetyl-N-acetylneuraminic acid deacetylase,WP_000874392.1,55.5,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1299,EDL933_RS29185,chromosome,pseudogene,pseudogene,43,86,26,Neutral,transposase,---,53.5,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1300,EDL933_RS29830,chromosome,pseudogene,pseudogene,6,50,9,Neutral,DUF3950 domain-containing protein,---,33.3,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1301,EDL933_RS06260,chromosome,protein_coding,protein_coding,13,69,32,Neutral,PerC family transcriptional regulator,WP_001303878.1,49.2,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1302,EDL933_RS29835,chromosome,protein_coding,protein_coding,15,20,6,Underrepresented,hypothetical protein,WP_001096930.1,34.8,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
1303,EDL933_RS06265,chromosome,protein_coding,protein_coding,20,70,17,Neutral,lysis protein,WP_001082637.1,54.5,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1304,EDL933_RS06270,chromosome,protein_coding,protein_coding,3,67,13,Neutral,hypothetical protein,WP_000675931.1,50.9,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
1305,EDL933_RS06275,chromosome,protein_coding,protein_coding,17,77,8,Neutral,lysozyme,WP_001003118.1,54.3,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
