Position,Locus Tag,Replicon,Class - General,Class - Specific,# TA Sites,% Sites Hit,Reads per Site Hit,EL-ARTIST Call,Symbol,Gene Function,Protein ID,Call in Keio Collection,,,,,,,
1275,b1258,chromosome,Protein_Coding,protein_coding,24,33,20,Underrepresented,yciF,putative rubrerythrin/ferritin-like metal-binding protein,WP_001056490.1,Not Essential,,,,,,,
1276,b1259,chromosome,Protein_Coding,protein_coding,7,29,5,Underrepresented,yciG,KGG family protein,WP_000807651.1,Not Essential,,,,,,,
1277,b1260,chromosome,Protein_Coding,protein_coding,24,63,38,Neutral,trpA,"tryptophan synthase, alpha subunit",WP_000443067.1,Not Essential,,,,,,,
1278,b1261,chromosome,Protein_Coding,protein_coding,40,48,49,Neutral,trpB,"tryptophan synthase, beta subunit",WP_000209520.1,Not Essential,,,,,,,
1279,b1262,chromosome,Protein_Coding,protein_coding,53,60,42,Neutral,trpC,indole-3-glycerolphosphate synthetase and N-(5-phosphoribosyl)anthranilate isomerase,WP_000983871.1,Not Essential,,,,,,,
1280,b1263,chromosome,Protein_Coding,protein_coding,54,61,33,Neutral,trpD,fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase,WP_000763511.1,Not Essential,,,,,,,
1281,b1264,chromosome,Protein_Coding,protein_coding,53,45,35,Neutral,trpE,component I of anthranilate synthase,WP_001194582.1,Not Essential,,,,,,,
1282,b1265,chromosome,Protein_Coding,protein_coding,1,0,0,Neutral,trpL,trp operon leader peptide,WP_001700591.1,Not Essential,,,,,,,
1283,b1266,chromosome,Protein_Coding,protein_coding,26,65,20,Neutral,yciV,PHP domain protein,WP_001285661.1,Not Essential,,,,,,,
1284,b1267,chromosome,Protein_Coding,protein_coding,32,53,47,Neutral,yciO,putative RNA binding protein,WP_001295575.1,Not Essential,,,,,,,
1285,b1268,chromosome,Protein_Coding,protein_coding,107,54,28,Neutral,yciQ,enhancer of membrane protein expression; putative inner membrane protein,WP_001326916.1,Not Essential,,,,,,,
1286,b1269,chromosome,Protein_Coding,protein_coding,30,37,21,Neutral,rluB,23S rRNA pseudouridine(2605) synthase,WP_001291217.1,Not Essential,,,,,,,
1287,b1270,chromosome,Protein_Coding,protein_coding,28,68,48,Neutral,btuR,"cob(I)yrinic acid a,c-diamide adenosyltransferase",WP_001278906.1,Not Essential,,,,,,,
1288,b1271,chromosome,Protein_Coding,protein_coding,29,62,22,Neutral,yciK,putative EmrKY-TolC system oxoacyl-(acyl carrier protein) reductase,WP_000559286.1,Not Essential,,,,,,,
1289,b1272,chromosome,Protein_Coding,protein_coding,41,51,28,Neutral,sohB,"inner membrane protein, S49 peptidase family protein",WP_000422045.1,Not Essential,,,,,,,
1290,b1273,chromosome,Protein_Coding,protein_coding,10,50,15,Neutral,yciN,DUF2498 protein YciN,WP_001031530.1,Not Essential,,,,,,,
1291,b1274,chromosome,Protein_Coding,protein_coding,97,10,26,Underrepresented,topA,"DNA topoisomerase I, omega subunit",WP_001297122.1,Essential,,,,,,,
1292,b1275,chromosome,Protein_Coding,protein_coding,54,15,12,Underrepresented,cysB,N-acetylserine-responsive cysteine regulon transcriptional activator; autorepressor,WP_000776253.1,Not Essential,,,,,,,
1293,b4522,chromosome,Protein_Coding,protein_coding,7,71,7,Neutral,ymiA,uncharacterized protein,WP_000908596.1,Not Essential,,,,,,,
1294,b4523,chromosome,Protein_Coding,protein_coding,7,57,15,Neutral,yciX,uncharacterized protein,WP_001297116.1,Not Essential,,,,,,,
1295,b1276,chromosome,Protein_Coding,protein_coding,121,38,20,Neutral,acnA,aconitate hydratase 1; aconitase A,WP_000099535.1,Not Essential,,,,,,,
1296,b1277,chromosome,Protein_Coding,protein_coding,28,0,0,Underrepresented,ribA,GTP cyclohydrolase II,WP_001176295.1,Essential,,,,,,,
1297,b1278,chromosome,Protein_Coding,protein_coding,28,54,16,Neutral,pgpB,phosphatidylglycerophosphatase B,WP_001256538.1,Not Essential,,,,,,,
1298,b1279,chromosome,Protein_Coding,protein_coding,15,33,10,Regional,yciS,"DUF1049 family inner membrane protein, function unknown",WP_000876286.1,Not Essential,,,,,,,
1299,b1280,chromosome,Protein_Coding,protein_coding,56,2,9,Underrepresented,yciM,LPS regulatory protein; putative modulator of LpxC proteolysis,WP_000891353.1,Not Essential,,,,,,,
1300,b1281,chromosome,Protein_Coding,protein_coding,19,53,18,Neutral,pyrF,orotidine-5'-phosphate decarboxylase,WP_000176270.1,Not Essential,,,,,,,
1301,b1282,chromosome,Protein_Coding,protein_coding,16,31,27,Neutral,yciH,"initiation factor function partial mimic, SUI1 family",WP_001295580.1,Not Essential,,,,,,,
1302,b1283,chromosome,Protein_Coding,protein_coding,13,39,31,Neutral,osmB,osmotically and stress inducible lipoprotein,WP_000498253.1,Not Essential,,,,,,,
1303,b1284,chromosome,Protein_Coding,protein_coding,29,76,23,Neutral,yciT,global regulator of transcription; DeoR family,WP_001088620.1,Not Essential,,,,,,,
1304,b4596,chromosome,Protein_Coding,protein_coding,10,90,44,Neutral,yciZ,uncharacterized protein,WP_001288368.1,Not Essential,,,,,,,
1305,b1285,chromosome,Protein_Coding,protein_coding,82,51,27,Neutral,gmr,cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of RNase II stability,WP_000859945.1,Not Essential,,,,,,,
1306,b4672,chromosome,Protein_Coding,protein_coding,9,22,5,Regional,ymiB,uncharacterized protein,WP_000221855.1,Not Essential,,,,,,,
1307,b1286,chromosome,Protein_Coding,protein_coding,56,16,22,Underrepresented,rnb,ribonuclease II,WP_000484984.1,Not Essential,,,,,,,
1308,b1287,chromosome,Protein_Coding,protein_coding,52,60,20,Neutral,yciW,putative oxidoreductase,WP_001335988.1,Not Essential,,,,,,,
1309,b1288,chromosome,Protein_Coding,protein_coding,30,0,0,Underrepresented,fabI,"enoyl-[acyl-carrier-protein] reductase, NADH-dependent",WP_000506490.1,Essential,,,,,,,
1310,b1289,chromosome,Protein_Coding,protein_coding,14,64,20,Neutral,ycjD,DUF559 family endonuclease-related protein,WP_000565727.1,Not Essential,,,,,,,
1311,b1290,chromosome,Protein_Coding,protein_coding,35,14,15,Underrepresented,sapF,antimicrobial peptide ABC transporter ATPase,WP_000573407.1,Not Essential,,,,,,,
1312,b1291,chromosome,Protein_Coding,protein_coding,37,3,1,Underrepresented,sapD,antimicrobial peptide ABC transporter ATPase,WP_001128858.1,Not Essential,,,,,,,
1313,b1292,chromosome,Protein_Coding,protein_coding,35,23,12,Underrepresented,sapC,antimicrobial peptide transport ABC transporter permease,WP_001146163.1,Not Essential,,,,,,,
1314,b1293,chromosome,Protein_Coding,protein_coding,41,7,4,Underrepresented,sapB,antimicrobial peptide transport ABC transporter permease,WP_000583277.1,Not Essential,,,,,,,
1315,b1294,chromosome,Protein_Coding,protein_coding,70,30,15,Regional,sapA,antimicrobial peptide transport ABC transporter periplasmic binding protein,WP_001250216.1,Not Essential,,,,,,,
1316,b1295,chromosome,Protein_Coding,protein_coding,11,36,7,Neutral,ymjA,DUF2543 family protein,WP_001015110.1,Not Essential,,,,,,,
1317,b1296,chromosome,Protein_Coding,protein_coding,61,64,44,Neutral,puuP,putrescine importer,WP_000996856.1,Not Essential,,,,,,,
1318,b1297,chromosome,Protein_Coding,protein_coding,58,59,23,Neutral,puuA,glutamate--putrescine ligase,WP_001296746.1,Not Essential,,,,,,,
1319,b1298,chromosome,Protein_Coding,protein_coding,32,63,40,Neutral,puuD,gamma-glutamyl-gamma-aminobutyrate hydrolase,WP_001300506.1,Not Essential,,,,,,,
1320,b1299,chromosome,Protein_Coding,protein_coding,26,58,31,Neutral,puuR,"repressor for the divergent puu operons, putrescine inducible",WP_001278727.1,Not Essential,,,,,,,
1321,b1300,chromosome,Protein_Coding,protein_coding,41,56,21,Neutral,puuC,gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase; succinate semialdehyde dehydrogenase,WP_001009090.1,Not Essential,,,,,,,
1322,b1301,chromosome,Protein_Coding,protein_coding,49,80,33,Neutral,puuB,gamma-glutamylputrescine oxidoreductase,WP_000134870.1,Not Essential,,,,,,,
1323,b1302,chromosome,Protein_Coding,protein_coding,38,63,36,Neutral,puuE,"4-aminobutyrate aminotransferase, PLP-dependent",WP_000069229.1,Not Essential,,,,,,,
1324,b1303,chromosome,Protein_Coding,protein_coding,33,61,23,Neutral,pspF,psp operon transcriptional activator,WP_001301108.1,Not Essential,,,,,,,
1325,b1304,chromosome,Protein_Coding,protein_coding,14,36,15,Regional,pspA,regulatory protein for phage-shock-protein operon,WP_000511025.1,Not Essential,,,,,,,
1326,b1305,chromosome,Protein_Coding,protein_coding,10,50,15,Neutral,pspB,psp operon transcription co-activator,WP_001274963.1,Not Essential,,,,,,,
1327,b1306,chromosome,Protein_Coding,protein_coding,16,63,29,Neutral,pspC,psp operon transcription co-activator,WP_000907387.1,Not Essential,,,,,,,
1328,b1307,chromosome,Protein_Coding,protein_coding,12,50,20,Neutral,pspD,peripheral inner membrane phage-shock protein,WP_001295585.1,Not Essential,,,,,,,
1329,b1308,chromosome,Protein_Coding,protein_coding,10,60,15,Neutral,pspE,thiosulfate:cyanide sulfurtransferase (rhodanese),WP_000473109.1,Not Essential,,,,,,,
1330,b1309,chromosome,Protein_Coding,protein_coding,110,26,25,Regional,ycjM,alpha amylase catalytic domain family protein,WP_000810499.1,Not Essential,,,,,,,
1331,b1310,chromosome,Protein_Coding,protein_coding,58,59,30,Neutral,ycjN,putative ABC sugar transporter periplasmic binding protein,WP_000597466.1,Not Essential,,,,,,,
1332,b1311,chromosome,Protein_Coding,protein_coding,35,66,41,Neutral,ycjO,putative sugar ABC transporter permease,WP_001080790.1,Not Essential,,,,,,,
1333,b1312,chromosome,Protein_Coding,protein_coding,28,61,45,Neutral,ycjP,putative sugar ABC transporter permease,WP_000224659.1,Not Essential,,,,,,,
1334,b1313,chromosome,Protein_Coding,protein_coding,40,48,17,Neutral,ycjQ,putative Zn-dependent NAD(P)-binding oxidoreductase,WP_000737347.1,Not Essential,,,,,,,
1335,b1314,chromosome,Protein_Coding,protein_coding,37,51,29,Neutral,ycjR,putative TIM alpha/beta barrel enzyme,WP_000690229.1,Not Essential,,,,,,,
1336,b1315,chromosome,Protein_Coding,protein_coding,35,69,47,Neutral,ycjS,putative NADH-binding oxidoreductase,WP_001395397.1,Not Essential,,,,,,,
1337,b1316,chromosome,Protein_Coding,protein_coding,79,71,32,Neutral,ycjT,putative family 65 glycosyl hydrolase,WP_000198036.1,Not Essential,,,,,,,
1338,b1317,chromosome,Protein_Coding,protein_coding,20,55,29,Neutral,ycjU,beta-phosphoglucomutase,WP_000775794.1,Not Essential,,,,,,,
1339,b4524,chromosome,Pseudogene,pseudogene,46,44,43,Regional,ycjV,---,---,Not Essential,,,,,,,
1340,b1319,chromosome,Protein_Coding,protein_coding,51,49,19,Neutral,ompG,outer membrane porin G,WP_000735257.1,Not Essential,,,,,,,
1341,b1320,chromosome,Protein_Coding,protein_coding,59,42,18,Regional,ycjW,LacI family putative transcriptional repressor,WP_000075375.1,Not Essential,,,,,,,
1342,b1321,chromosome,Protein_Coding,protein_coding,56,63,37,Neutral,ycjX,"DUF463 family protein, puatative P-loop NTPase",WP_000825775.1,Not Essential,,,,,,,
1343,b1322,chromosome,Protein_Coding,protein_coding,31,48,27,Neutral,ycjF,UPF0283 family inner membrane protein,WP_000138728.1,Not Essential,,,,,,,
1344,b1323,chromosome,Protein_Coding,protein_coding,58,45,22,Neutral,tyrR,aromatic amino acid biosynthesis and transport regulon transcriptional regulator; autorepressor; ATPase; phosphatase,WP_001300658.1,Not Essential,,,,,,,
1345,b1324,chromosome,Protein_Coding,protein_coding,17,41,17,Neutral,tpx,lipid hydroperoxide peroxidase,WP_000084387.1,Not Essential,,,,,,,
1346,b1325,chromosome,Protein_Coding,protein_coding,34,68,28,Neutral,ycjG,L-Ala-D/L-Glu epimerase,WP_001261211.1,Not Essential,,,,,,,
1347,b1326,chromosome,Protein_Coding,protein_coding,17,47,29,Neutral,mpaA,murein peptide amidase A,WP_000219122.1,Not Essential,,,,,,,
1348,b4525,chromosome,Pseudogene,pseudogene,8,88,9,Neutral,ymjC,---,---,Not Essential,,,,,,,
1349,b4673,chromosome,Pseudogene,pseudogene,6,67,19,Neutral,ymjD,---,---,Not Essential,,,,,,,
1350,b1327,chromosome,Protein_Coding,protein_coding,52,73,23,Neutral,ycjY,S9 homolog non-peptidase family protein,WP_001300523.1,Not Essential,,,,,,,
1351,b1328,chromosome,Protein_Coding,protein_coding,50,64,31,Neutral,pgrR,murein peptide degradation regulator,WP_000817708.1,Not Essential,,,,,,,
1352,b1329,chromosome,Protein_Coding,protein_coding,82,44,13,Neutral,mppA,murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit,WP_000683020.1,Not Essential,,,,,,,
1353,b1330,chromosome,Protein_Coding,protein_coding,71,42,26,Neutral,ynaI,"mechanosensitive channel protein, very small conductance",WP_000559900.1,Not Essential,,,,,,,
1354,b1331,chromosome,Protein_Coding,protein_coding,20,95,27,Neutral,insH1,IS5 transposase and trans-activator,WP_010723085.1,Not Essential,,,,,,,
1355,b1332,chromosome,Protein_Coding,protein_coding,12,50,51,Neutral,ynaJ,DUF2534 family putative inner membrane protein,WP_000605090.1,Not Essential,,,,,,,
1356,b1333,chromosome,Protein_Coding,protein_coding,37,30,11,Neutral,uspE,stress-induced protein,WP_001262123.1,Not Essential,,,,,,,
1357,b1334,chromosome,Protein_Coding,protein_coding,27,78,26,Neutral,fnr,oxygen-sensing anaerobic growth regulon transcriptional regulator FNR; autorepressor,WP_000611911.1,Not Essential,,,,,,,
1358,b1335,chromosome,Protein_Coding,protein_coding,21,71,22,Neutral,ogt,O-6-alkylguanine-DNA:cysteine-protein methyltransferase,WP_000945011.1,Not Essential,,,,,,,
1359,b1336,chromosome,Protein_Coding,protein_coding,78,67,29,Neutral,abgT,p-aminobenzoyl-glutamate transporter; membrane protein,WP_000062973.1,Not Essential,,,,,,,
1360,b1337,chromosome,Protein_Coding,protein_coding,56,63,37,Neutral,abgB,"p-aminobenzoyl-glutamate hydrolase, B subunit",WP_001156451.1,Not Essential,,,,,,,
1361,b1338,chromosome,Protein_Coding,protein_coding,39,56,33,Neutral,abgA,"p-aminobenzoyl-glutamate hydrolase, A subunit",WP_000444929.1,Not Essential,,,,,,,
1362,b1339,chromosome,Protein_Coding,protein_coding,40,63,28,Neutral,abgR,putative DNA-binding transcriptional regulator of abgABT operon,WP_000885458.1,Not Essential,,,,,,,
1363,b4426,chromosome,RNA,antisense_RNA,5,40,41,Neutral,mcaS,motility and biofilm regulator sRNA,---,Not Essential,,,,,,,
1364,b1340,chromosome,Protein_Coding,protein_coding,21,48,32,Neutral,smrA,DNA endonuclease,WP_001046829.1,Not Essential,,,,,,,
1365,b1341,chromosome,Protein_Coding,protein_coding,56,59,25,Neutral,ydaM,"diguanylate cyclase, csgD regulator",WP_000628058.1,Not Essential,,,,,,,
1366,b1342,chromosome,Protein_Coding,protein_coding,44,66,40,Neutral,ydaN,putative Zn(II) transporter,WP_000387388.1,Not Essential,,,,,,,
1367,b4699,chromosome,RNA,antisense_RNA,5,80,19,Neutral,fnrS,"FNR-activated anaerobic sRNA antisense regulator down regulates cydDC, metE, sodA, sodB, Hfq-dependent; mediates negative FNR regulation",---,Not Essential,,,,,,,
1368,b1343,chromosome,Protein_Coding,protein_coding,48,71,30,Neutral,dbpA,"ATP-dependent RNA helicase, specific for 23S rRNA",WP_000123737.1,Not Essential,,,,,,,
1369,b1344,chromosome,Protein_Coding,protein_coding,37,49,27,Neutral,ttcA,"tRNA s(2)C32 thioltransferase, iron sulfur cluster protein",WP_001157406.1,Not Essential,,,,,,,
1370,b1345,chromosome,Protein_Coding,protein_coding,72,33,19,Regional,intR,Rac prophage; integrase,WP_000040852.1,Not Essential,,,,,,,
1371,b1346,chromosome,Protein_Coding,protein_coding,12,50,9,Regional,ydaQ,Rac prophage; conserved protein,WP_000079604.1,Not Essential,,,,,,,
1372,b1347,chromosome,Protein_Coding,protein_coding,13,0,0,Underrepresented,ydaC,"DUF1187 family protein, Rac prophage; putative double-strand break reduction protein",WP_000276809.1,Not Essential,,,,,,,
1373,b4714,chromosome,RNA,other,12,0,0,Underrepresented,ralA,---,---,Not Essential,,,,,,,
1374,b1347,chromosome,Protein_Coding,protein_coding,13,0,0,Neutral,ydaC,"DUF1187 family protein, Rac prophage; putative double-strand break reduction protein",WP_000276809.1,Not Essential,,,,,,,
1375,b1348,chromosome,Protein_Coding,protein_coding,11,18,2,Underrepresented,ralR,Rac prophage; restriction alleviation protein,WP_001317028.1,Not Essential,,,,,,,
1376,b1349,chromosome,Protein_Coding,protein_coding,41,51,29,Regional,recT,Rac prophage; recombination and repair protein,WP_000166319.1,Not Essential,,,,,,,
1377,b1350,chromosome,Protein_Coding,protein_coding,94,49,26,Regional,recE,"Rac prophage; exonuclease VIII, 5' to 3' specific dsDNA exonuclease",WP_000105143.1,Not Essential,,,,,,,
1378,b1351,chromosome,Protein_Coding,protein_coding,13,8,11,Underrepresented,racC,Rac prophage; uncharacterized protein,WP_000632297.1,Not Essential,,,,,,,
1379,b4526,chromosome,Protein_Coding,protein_coding,7,29,20,Underrepresented,ydaE,"conserved protein, Rac prophage",WP_001352098.1,Not Essential,,,,,,,
1380,b1352,chromosome,Protein_Coding,protein_coding,15,60,6,Neutral,kilR,"killing protein, Rac prophage; FtsZ inhibitor protein",WP_000560225.1,Not Essential,,,,,,,
1381,b1353,chromosome,Protein_Coding,protein_coding,35,20,7,Underrepresented,sieB,"phage superinfection exclusion protein, Rac prophage",WP_001312793.1,Not Essential,,,,,,,
1382,b4527,chromosome,Protein_Coding,protein_coding,5,40,18,Neutral,ydaF,"uncharacterized protein, Rac prophage",WP_001169151.1,Not Essential,,,,,,,
1383,b1355,chromosome,Protein_Coding,protein_coding,9,44,57,Neutral,ydaG,Rac prophage; uncharacterized protein,WP_000233809.1,Not Essential,,,,,,,
1384,b1356,chromosome,Protein_Coding,protein_coding,30,3,1,Underrepresented,racR,Rac prophage; putative DNA-binding transcriptional regulator,WP_000948459.1,Not Essential,,,,,,,
1385,b1357,chromosome,Protein_Coding,protein_coding,13,0,0,Underrepresented,ydaS,Rac prophage; putative DNA-binding transcriptional regulator,WP_000712069.1,Not Essential,,,,,,,
1386,b1358,chromosome,Protein_Coding,protein_coding,12,67,14,Neutral,ydaT,Rac prophage; uncharacterized protein,WP_000693797.1,Not Essential,,,,,,,
1387,b1359,chromosome,Protein_Coding,protein_coding,33,52,36,Neutral,ydaU,Rac prophage; conserved protein,WP_000899748.1,Not Essential,,,,,,,
1388,b1360,chromosome,Protein_Coding,protein_coding,17,41,53,Neutral,ydaV,Rac prophage; putative DNA replication protein,WP_000788970.1,Not Essential,,,,,,,
1389,b1361,chromosome,Pseudogene,pseudogene,20,65,33,Neutral,ydaW,---,---,Not Essential,,,,,,,
1390,b1362,chromosome,Pseudogene,pseudogene,15,67,28,Neutral,rzpR,---,---,Not Essential,,,,,,,
1391,b1363,chromosome,Protein_Coding,protein_coding,117,19,9,Regional,trkG,Rac prophage; potassium transporter subunit,WP_001097895.1,Not Essential,,,,,,,
1392,b1365,chromosome,Protein_Coding,protein_coding,13,46,27,Neutral,ynaK,Rac prophage; conserved protein,WP_001350510.1,Not Essential,,,,,,,
1393,b1366,chromosome,Pseudogene,pseudogene,19,58,19,Neutral,ydaY,---,---,Not Essential,,,,,,,
1394,b1368,chromosome,Pseudogene,pseudogene,36,39,27,Regional,tmpR,---,---,Not Essential,,,,,,,
1395,b4570,chromosome,Pseudogene,pseudogene,27,70,30,Neutral,lomR,---,---,Not Essential,,,,,,,
1396,b1370,chromosome,Protein_Coding,protein_coding,20,65,29,Neutral,insH1,IS5 transposase and trans-activator,WP_000019448.1,Not Essential,,,,,,,
1397,b4570,chromosome,Pseudogene,pseudogene,27,70,30,Neutral,lomR,---,---,Not Essential,,,,,,,
1398,b1372,chromosome,Protein_Coding,protein_coding,125,66,37,Neutral,stfR,Rac prophage; putative tail fiber protein,WP_000279097.1,Not Essential,,,,,,,
1399,b1373,chromosome,Protein_Coding,protein_coding,26,54,14,Neutral,tfaR,Rac prophage; putative tail fiber assembly protein,WP_001698950.1,Not Essential,,,,,,,
1400,b1374,chromosome,Protein_Coding,protein_coding,24,50,14,Neutral,pinR,Rac prophage; putative site-specific recombinase,WP_000086527.1,Not Essential,,,,,,,
1401,b1375,chromosome,Protein_Coding,protein_coding,18,17,7,Underrepresented,ynaE,"cold shock protein, Rac prophage",WP_000836770.1,Not Essential,,,,,,,
1402,b4638,chromosome,Pseudogene,pseudogene,3,33,1,Neutral,ttcC,---,---,Not Essential,,,,,,,
1403,b1376,chromosome,Protein_Coding,protein_coding,18,67,21,Neutral,uspF,"stress-induced protein, ATP-binding protein",WP_001300461.1,Not Essential,,,,,,,
1404,b1377,chromosome,Protein_Coding,protein_coding,66,47,35,Neutral,ompN,"outer membrane pore protein N, non-specific",WP_000837921.1,Not Essential,,,,,,,
1405,b4427,chromosome,RNA,antisense_RNA,6,17,7,Underrepresented,micC,"sRNA antisense regulator of OmpC translation, Hfq-dependent",---,Not Essential,,,,,,,
1406,b1378,chromosome,Protein_Coding,protein_coding,128,56,28,Neutral,pfo,pyruvate-flavodoxin oxidoreductase,WP_000628244.1,Not Essential,,,,,,,
1407,b4529,chromosome,Protein_Coding,protein_coding,11,46,56,Neutral,ydbJ,DUF333 family putative lipoprotein,WP_001295715.1,Not Essential,,,,,,,
1408,b1379,chromosome,Protein_Coding,protein_coding,23,57,28,Neutral,hslJ,heat-inducible lipoprotein involved in novobiocin resistance,WP_001298828.1,Not Essential,,,,,,,
1409,b1380,chromosome,Protein_Coding,protein_coding,42,62,27,Neutral,ldhA,"fermentative D-lactate dehydrogenase, NAD-dependent",WP_000762236.1,Not Essential,,,,,,,
1410,b1381,chromosome,Protein_Coding,protein_coding,112,47,20,Neutral,ydbH,"putative membrane-anchored protein, function unknown",WP_000900941.1,Not Essential,,,,,,,
1411,b1382,chromosome,Protein_Coding,protein_coding,8,75,17,Neutral,ynbE,lipoprotein,WP_000698145.1,Not Essential,,,,,,,
1412,b1383,chromosome,Protein_Coding,protein_coding,20,55,15,Neutral,ydbL,DUF1318 family protein,WP_001300734.1,Not Essential,,,,,,,
1413,b1384,chromosome,Protein_Coding,protein_coding,46,46,25,Neutral,feaR,transcriptional activator for tynA and feaB,WP_001067514.1,Not Essential,,,,,,,
1414,b1385,chromosome,Protein_Coding,protein_coding,61,57,46,Neutral,feaB,phenylacetaldehyde dehydrogenase,WP_000138615.1,Not Essential,,,,,,,
1415,b1386,chromosome,Protein_Coding,protein_coding,114,56,31,Neutral,tynA,"tyramine oxidase, copper-requiring",WP_000535469.1,Not Essential,,,,,,,
1416,b1387,chromosome,Protein_Coding,protein_coding,74,58,29,Neutral,paaZ,"oxepin-CoA hydrolase and 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase",WP_001186469.1,Not Essential,,,,,,,
1417,b1388,chromosome,Protein_Coding,protein_coding,33,64,21,Neutral,paaA,"ring 1,2-phenylacetyl-CoA epoxidase subunit",WP_000191077.1,Not Essential,,,,,,,
1418,b1389,chromosome,Protein_Coding,protein_coding,10,60,27,Neutral,paaB,"putative ring 1,2-phenylacetyl-CoA epoxidase subunit",WP_000073393.1,Not Essential,,,,,,,
1419,b1390,chromosome,Protein_Coding,protein_coding,27,59,36,Neutral,paaC,"ring 1,2-phenylacetyl-CoA epoxidase subunit",WP_001072837.1,Not Essential,,,,,,,
1420,b1391,chromosome,Protein_Coding,protein_coding,18,78,29,Neutral,paaD,"ring 1,2-phenylacetyl-CoA epoxidase subunit",WP_001189201.1,Not Essential,,,,,,,
1421,b1392,chromosome,Protein_Coding,protein_coding,37,54,31,Neutral,paaE,"ring 1,2-phenylacetyl-CoA epoxidase, NAD(P)H oxidoreductase component",WP_000206388.1,Not Essential,,,,,,,
1422,b1393,chromosome,Protein_Coding,protein_coding,31,61,41,Neutral,paaF,"2,3-dehydroadipyl-CoA hydratase",WP_001292353.1,Not Essential,,,,,,,
1423,b1394,chromosome,Protein_Coding,protein_coding,29,79,17,Neutral,paaG,"1,2-epoxyphenylacetyl-CoA isomerase, oxepin-CoA-forming",WP_000969784.1,Not Essential,,,,,,,
1424,b1395,chromosome,Protein_Coding,protein_coding,44,57,21,Neutral,paaH,"3-hydroxyadipyl-CoA dehydrogenase, NAD+-dependent",WP_000973360.1,Not Essential,,,,,,,
1425,b1396,chromosome,Protein_Coding,protein_coding,15,73,39,Neutral,paaI,hydroxyphenylacetyl-CoA thioesterase,WP_000018413.1,Not Essential,,,,,,,
1426,b1397,chromosome,Protein_Coding,protein_coding,38,47,21,Neutral,paaJ,"3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase",WP_001206197.1,Not Essential,,,,,,,
1427,b1398,chromosome,Protein_Coding,protein_coding,48,69,29,Neutral,paaK,phenylacetyl-CoA ligase,WP_000632280.1,Not Essential,,,,,,,
1428,b1399,chromosome,Protein_Coding,protein_coding,38,47,25,Neutral,paaX,"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer",WP_000039887.1,Not Essential,,,,,,,
1429,b1400,chromosome,Protein_Coding,protein_coding,24,54,19,Neutral,paaY,thioesterase required for phenylacetic acid degradation; trimeric; phenylacetate regulatory and detoxification protein; hexapeptide repeat protein,WP_001123464.1,Not Essential,,,,,,,
1430,b4674,chromosome,Protein_Coding,protein_coding,13,0,0,Underrepresented,ynbG,uncharacterized protein,WP_010723099.1,Not Essential,,,,,,,
1431,b4492,chromosome,Pseudogene,pseudogene,120,51,26,Neutral,ydbA,---,---,Not Essential,,,,,,,
1432,b1402,chromosome,Protein_Coding,protein_coding,37,78,34,Neutral,insD1,IS2 transposase TnpB,WP_000376502.1,Not Essential,,,,,,,
1433,b1403,chromosome,Protein_Coding,protein_coding,9,100,12,Neutral,insC1,IS2 repressor TnpA,WP_000567766.1,Not Essential,,,,,,,
1434,b1404,chromosome,Protein_Coding,protein_coding,61,87,24,Neutral,insI1,IS30 transposase,WP_001254932.1,Not Essential,,,,,,,
1435,b1406,chromosome,Protein_Coding,protein_coding,31,58,17,Neutral,ydbC,putative NAD(P)-binding oxidoreductase,WP_000097801.1,Not Essential,,,,,,,
1436,b1407,chromosome,Protein_Coding,protein_coding,130,39,21,Regional,ydbD,PF10971 family putative periplasmic methylglyoxal resistance protein,WP_000910026.1,Not Essential,,,,,,,
1437,b1408,chromosome,Protein_Coding,protein_coding,32,47,19,Neutral,ynbA,inner membrane protein,WP_000177515.1,Not Essential,,,,,,,
1438,b1409,chromosome,Protein_Coding,protein_coding,61,23,12,Regional,ynbB,putative CDP-diglyceride synthase,WP_000890941.1,Not Essential,,,,,,,
1439,b1410,chromosome,Protein_Coding,protein_coding,78,49,22,Neutral,ynbC,putative esterase,WP_000431845.1,Not Essential,,,,,,,
1440,b1411,chromosome,Protein_Coding,protein_coding,62,63,36,Neutral,ynbD,putative phosphatase inner membrane protein,WP_001375099.1,Not Essential,,,,,,,
1441,b1412,chromosome,Protein_Coding,protein_coding,24,54,21,Neutral,azoR,"NADH-azoreductase, FMN-dependent",WP_000048950.1,Not Essential,,,,,,,
1442,b1413,chromosome,Protein_Coding,protein_coding,141,51,25,Neutral,hrpA,putative ATP-dependent helicase,WP_000139543.1,Not Essential,,,,,,,
1443,b1414,chromosome,Protein_Coding,protein_coding,40,55,34,Neutral,ydcF,"DUF218 superfamily protein, SAM-binding",WP_001027942.1,Not Essential,,,,,,,
